Title,Content,Time
SoftBank succeeds in tender offer for Uber shares,"That stake includes a share purchase, through a tender offer, from earlier 
investors and employees at the $48 billion valuation, as well as a $1.25 
billion ...",28 Dec 2017
SoftBank Succeeds in Tender Offer for Large Stake in Uber,"The tender offer—an open call to buy shares in the privately held 
company—expired Thursday at noon Pacific time, meaning investors could have 
changed their ...",28 Dec 2017
SoftBank agrees to buy large stake in Uber,"Uber and SoftBank have agreed to a long-awaited tender offer on Thursday, 
in a deal that would value Uber at $48 billion, an Uber spokesperson said.",28 Dec 2017
KFC Releases Colonel Sanders Romance Novel for Mother's Day,"The 96-page Tender Wings of Desire is set in Victorian England and 
available on Amazon for free. The novel centers on Lady Madeline Parker, 
who “must choose ...",7 May 2017
Mahindra matches Tata Motors’s EV tender bid,"The tender is part of the government's agenda for a universal shift to EVs 
by 2030. “The electric vehicles procured under the current tender will be 
used to ...",5 Oct 2017
Yahoo to buy back $3 billion shares in tender offer,"Yahoo said it would determine a single purchase price after the expiry of 
the Dutch auction tender offer on June 13 and that the price would not be 
less than ...",16 May 2017
"Malaysia, Singapore call for joint tender for KL-Singapore ...","SINGAPORE - Both Malaysia's and Singapore's companies behind the Kuala 
Lumpur-Singapore High Speed Rail (HSR) project have called for a joint 
tender for an ...",20 Dec 2017
BGMC grabs 30 MW in Malaysian solar tender,"December 13 (Renewables Now) - Malaysia-based BGMC International Ltd 
(HKG:1693) said Tuesday it is among the winners in Malaysia's recent solar 
tender with ...",13 Dec 2017
"Tender for 2017 Sea Games gymnastics equipment flawed, claim official","KUALA LUMPUR: News has filtered out from the corridors of powers that the 
tender exercise for the supply of equipment for gymnastics events in the 
2017 SEA ...",8 Feb 2017
Tips for better LNG tenders,"While LNG producers do routinely issue tenders for available project 
cargoes, tender activity is more pronounced on the buy side. Table 1 
displays some recent ...",10 Oct 2017
KL's MRT tender raises questions on local bidders,"A tender for the third phase of Malaysia's MRT system has surprised 
industry analysts, with the government asking bidders to provide 90 per 
cent upfront ...",15 Nov 2017
"Exclusive: Westinghouse discussing group bid for Saudi nuclear tender - 
sources","T is in talks with other U.S-based companies to form a consortium to bid in 
a multi-billion-dollar tender for two nuclear power reactors in Saudi 
Arabia, three ...",21 Nov 2017
KKR Announces Tender Offer to Acquire Hitachi Koki Hitachi ...,"Hitachi and Hitachi Urban Investment Agree to Tender Their Holdings of 
Hitachi Koki Shares. KKR to support accelerated global growth of Hitachi 
Koki. January 13 ...",13 Jan 2017
